Name,Country,Implementation Date,Start Date,End Date,Organisation Name,Donors,Implementing Partners,Point of Contact,Overview of digital health implementation,Geographical scope,Health Focus Areas,Software,Health System Challenges,Health Information System Support,Government Investor,Licenses,Repository,Mobile Application,Wiki,Interoperability Standards,National Level Deployment,First Level Coverage,Second Level Coverage,Approved
117 Alerts System,Sierra Leone,31/08/2014,31/08/2014,21/11/2017,eHealth Africa Sierra Leone,"CDC Foundation,Department for International Development (DFID),World Bank",eHealth Africa Sierra Leone,"Dayo Spencer-Walters, dayo.spencer-walters@sl.ehealthafrica.org",24 hour hotline built as a syndromic and mortality surveillance tool for early detection of disease outbreaks,Across all districts in Sierra Leone,,Custom Built from eHA,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,5.2 Geographic inaccessibility,6.3 Poor planning and coordination,6.4 Delayed provision of care","B. Civil Registration and Vital Statistics,C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,V. Public health and disease surveillance",yes,Protective free and open source software,,,,,"Clients: 100000, Health Workers: 1000, Facilities: 15",,,no
Electronic Vaccination Record and Tracking System Implementation Project (VaxTrac),Sierra Leone,15/11/2016,31/05/2016,29/06/2019,eHealth Africa,Centers for Disease Control (CDC),CDC and MOHS,"Musa Bernard Komeh, musa.komeh@sl.ehealthafrica.org","VaxTrac is a clinic based vaccine registry tool to record vaccine data at the time and place of vaccine administration.  
The backbone of the system is a mobile, clinic-based immunization registry. The mobile app includes:
Clinical decision support to improve the quality of services delivered, Methods for defaulter tracing, Automated reporting that can reduce the administrative burden on front line health workers, and improve the quality of data.",Western Urban District,,Commcare,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,5.4 Loss to follow-up","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility",no,,,,,,,"District: Western Area Urban [Clients: 100000, Health Workers: 100, Facilities: 50]",,no
Saving Lives,Sierra Leone,07/07/2017,01/01/2017,29/03/2018,FOCUS 1000,Department for International Development (DFID),"DHMT, DPPI, Changes Consortium","Mohammad B. Jalloh, mbjalloh@focus1000.org","We aim to enhance the quality and timely generation of HF data through the digitization of HF forms, deployment of android-based tablets at data entry points - mostly at CHC level - and possible deployment across all CHPs in a bid to promote the timely and complete generation of data from facilities to the DHIS2.",National,,DHIS2,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.6 Inadequate supportive supervision,5.1 Low demand for services","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,Q. Knowledge Management,U. Pharmacy Information System",yes,,,,,,"Clients: 688, Health Workers: 688, Facilities: 344",,,no
RapidPro,Sierra Leone,31/08/2016,31/08/2016,29/06/2018,UNICEF,"UNICEF,USAID","DPPI, DDMS, NSA, DPCA and others","Kazutaka Sekine, ksekine@unicef.org",UNICEF has been supporting MoHS to deploy RapidPro use cases for informed decision makings.,Across the country,,RapidPro,"1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.1 Insufficient supply of commodities,6.3 Poor planning and coordination","C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,H. Electronic Medical Record",no,Protective free and open source software,https://community.rapidpro.io/,https://community.rapidpro.io/,https://en.wikipedia.org/wiki/RapidSMS,,"Clients: 0, Health Workers: 0, Facilities: 1200",,,no
IeDA,Burkina Faso,09/12/2014,31/12/2013,30/12/2019,Terre des Hommes,"Bill and Melinda Gates Foundation (BMGF),Canton of Zurich, Switzerland,Novartis Foundation,Swiss Development Cooperation,The Global Fund,UNICEF",Dimagi,"Guillaume Foutry, gfo@tdh.ch","The IeDA project has two main foci: 
1) digitalising the WHO IMCI (Integrated Management of Childhood Illness) guidelines to improve healthcare workers adherence, diagnosis accuracy and treatment efficiency. The interface is the Commcare application run on Samsung tablets. 
2) providing feedbacks and teaching to healthcare workers using a network of coaches and using the data collected with the digital platform. We are also currently developing eLearning modules relevant to IMCI consultations.","The project is currently deployed in more than 600 CSPS (Centre de Santé et de Promotion Sociale) in four regions of Burkina Faso: Boucle du Mouhoun, Nord, Sahel and Est. The overall coverage reaches approximately 30% of the country's CSPS.","Infectious diseases (non-vector borne),Maternal health,Newborn and Child Health,Nutrition and metabolic disorders,Sexual and reproductive health,Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs)",Commcare,"1.3 Lack of quality/reliable data,1.6 Insufficient utilization of data and information,3.2 Insufficient health worker competence,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,4.1 Lack of alignment with local norms,6.2 Lack of or inappropriate referrals,6.4 Delayed provision of care","C. Client applications,F. Community-based Information System,N. Health Management Information System,Q. Knowledge Management,R. Laboratory and Diagnostic System,S. Learning and Training System,Y. Telemedicine",yes,Protective free and open source software,,https://docs.google.com/document/d/1SXKMdsAnGPmu_j1TNfYK66KD6XPiWcMs6VPyFDtHe2U/edit?usp=sharing,http://ieda-project.org/,"JSON,XForms","Clients: 2200000, Health Workers: 4800, Facilities: 720",,,no
WeMUNIZE,Nigeria,01/09/2017,22/03/2017,30/09/2018,Maternal and Child Survival Program .,USAID,Black Swan,"Steve Ollis, steve.ollis@mcsprogram.org",The WeMUNIZE system is developed to increase demand for immunization services using voices of local influencers and SMS to remind caretakers and gatekeepers of the importance of childhood vaccinations and of upcoming appointments.  The system is complemented by a mobile registration system on Android phones and a tracking system using RFID and barcodes to track children as they receive services. Caretakers are also provided a photo of their child during each visit to the health facility.,2 LGAs in Sokoto State,Newborn and Child Health,"SMS,Voice",5.1 Low demand for services,U. Pharmacy Information System,no,Proprietary,,,,,,"District: Sokoto [Clients: 1450, Health Workers: 0, Facilities: 6]",,no
The Malawi Digital Village Clinic (DVC),Malawi,02/06/2012,01/06/2012,30/09/2018,D-tree International,"Barr Foundation,Save the Children,USAID,Village Reach,World Health Organization (WHO)","Ministry of Health (MoH) Malawi,JHPIEGO,Save the Children,JSI,Village Reach","Christopher Kulanga, chriskulanga@gmail.com","The Digital Village Clinic is community based decision support mobile application running on android phones, integrating health service packages offered by trained community health workers called Health Surveillance Assistants (HSAs). The DVC has integrated: Community Integrated Management of Child Illnesses (CIMCI), Community Based Maternal and Neonatal Health (CBMNH), Community Based Family Planning (CBFP) and cStock. The DVC allows to switch ON/OFF any of the above based on the HSAs profile.","Currently in 7 of the 29 districts across the three regions in Malawi, namely: Mzimba North, Dowa, Ntchisi, Dedza, Ntcheu, Machinga and Blantyre. Prior implementations were done in more districts namely: Chikwawa, Mulanje, Thyolo, Blantyre, Zomba and Lilongwe.","Cross Cutting,Maternal health,Newborn and Child Health,Sexual and reproductive health,Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs)",Mangologic,"1.2 Delayed reporting of events,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.1 Insufficient supply of commodities,2.2 Insufficient supply of services,2.4 Insufficient supply of qualified health workers,3.2 Insufficient health worker competence,3.5 Insufficient continuity of care,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,5.3 Low adherence to treatments,5.4 Loss to follow-up,6.1 Inadequate workflow management,6.2 Lack of or inappropriate referrals,6.3 Poor planning and coordination","B. Civil Registration and Vital Statistics,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,H. Electronic Medical Record,I. Emergency response system,J. Environmental monitoring systems,L. Geographic Information Systems,N. Health Management Information System,P. Identification registries and directories,Q. Knowledge Management,R. Laboratory and Diagnostic System,W. Research information system,Y. Telemedicine",no,Proprietary,,dvc.d-tree.org,,JSON,"Clients: 100000, Health Workers: 1280, Facilities: 186",,,no
Namibia Master Facility List,Namibia,01/10/2017,01/01/2017,30/06/2018,Maternal and Child Survival Program,USAID,John Snow Inc.,"Maria Helao, Maria.Helao@mhss.gov.na","The Namibia Master Facility List was developed to serve as a central pillar of the Ministry of Health and Social Services Health Information Architecture, standing as a central resource providing information on all public and private health facilities.  The system provide geo-coordinates as well as service availability, staffing and infrastructure levels and has a full API to connect with other relevant systems in country.",,,Web,"1.5 Lack of access to information or data,5.2 Geographic inaccessibility","E. Clinical terminology and classifications,V. Public health and disease surveillance",no,Non protective free and open source software (e.g. Apache),,https://mfl.mhss.gov.na,,,"Clients: 0, Health Workers: 0, Facilities: 587",,,no
cStock - EPI,Malawi,09/01/2018,09/01/2018,09/01/2018,Maternal and Child Survival Program,"Pfizer,USAID","John Snow Inc.,Save the Children","Erick Mwale, Erick.Mwale@savethechildren.org",Adaptation of the existing cStock system to allow for health facilities to report on EPI commodities via SMS.,"4 districts in Malawi - Dowa, Ntchisi, Neno, Thyolo",Newborn and Child Health,Commcare Supply/ Commtrack,"1.2 Delayed reporting of events,1.6 Insufficient utilization of data and information,2.1 Insufficient supply of commodities,6.3 Poor planning and coordination","B. Civil Registration and Vital Statistics,F. Community-based Information System,H. Electronic Medical Record",no,Non protective free and open source software (e.g. Apache),,,,,,"District: Central Region [Clients: 0, Health Workers: 0, Facilities: 0]",,no
Vaccine Information Management System (VIMS),United Republic of Tanzania,10/01/2018,09/01/2018,09/01/2018,Maternal and Child Survival Program,"Bill and Melinda Gates Foundation (BMGF),Gavi, The Vaccine Alliance,USAID","John Snow Inc.,Clinton Health Access Initiative,PATH,Village Reach,inSupply","Ssanyu Nyinondi, snyinondi@tz.jsi.com","Tanzania’s Vaccine Information Management System (VIMS) combines vaccine data management, stock management and cold chain equipment inventory management into one tool that facilitates monitoring and improving immunization program performance.  The prior system used the district vaccine data management tool (DVDMT), stock management tool (SMT) and cold chain equipment inventory management tool (CCEIT)",7 regions in Tanzania,Newborn and Child Health,OpenLMIS,"2.1 Insufficient supply of commodities,2.3 Insufficient supply of equipment","H. Electronic Medical Record,K. Facility Management Information System",no,Non protective free and open source software (e.g. Apache),,,,,,"District: Kagera [Clients: 0, Health Workers: 0, Facilities: 1], District: Mara [Clients: 0, Health Workers: 0, Facilities: 1]",,no
Health Information Mediator,United Republic of Tanzania,10/01/2018,09/01/2018,30/06/2018,Maternal and Child Survival Program,USAID,John Snow Inc.,"Ssanyu Nyinondi, ssanyu_nyinondi@jsi.com","This ""middleware"" in the Tanzania Health Information Architecture enables data exchange from/between 9 health information systems from 5 national and specialized hospitals and legacy systems through an interoperability layer (JEEVA, MedPro and Care2x, eLMIS, DHIS2, VIMS, HRHIS, HFR and EPICOR 9)",National level system,,Other,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications",no,Proprietary,,,,"HL7 FHIR,HL7 v2,ICD-10,JSON,LOINC,SNOMED","Clients: 0, Health Workers: 0, Facilities: 0",,,no
Namibia Planned Parenthood Association (NAPPA),Namibia,09/01/2018,01/01/2018,09/01/2018,Maternal and Child Survival Program,USAID,"Jhpiego,Namibia Planned Parenthood Association (NAPPA)","Erin Sullivan, erin.sullivan@jhpiego.org",Digital tool used at Namibia Planned Parenthood Association clinics supporting registration and workflow of clients.,,Sexual and reproductive health,Commcare,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,3.1 Poor patient experience,3.5 Insufficient continuity of care,5.4 Loss to follow-up,6.1 Inadequate workflow management","C. Client applications,E. Clinical terminology and classifications,G. Data interchange interoperability and accessibility,J. Environmental monitoring systems,M. Health finance and insurance system,P. Identification registries and directories",no,Non protective free and open source software (e.g. Apache),,,,,,"District: Zambezi [Clients: 0, Health Workers: 2, Facilities: 1], District: Khomas [Clients: 0, Health Workers: 2, Facilities: 1], District: Erongo Region [Clients: 0, Health Workers: 2, Facilities: 1], District: Ohangwena [Clients: 1, Health Workers: 2, Facilities: 1], District: Karas [Clients: 1, Health Workers: 2, Facilities: 1], District: Omusati [Clients: 1, Health Workers: 2, Facilities: 1], District: Kavango East [Clients: 1, Health Workers: 2, Facilities: 1]",,no
UBALE (MIRA STUDY),Malawi,30/06/2016,30/06/2016,29/09/2018,Catholic Relief Services,USAID,"Save the Children, CARE Malawi and CADECOM(Chikwawa)","Dane Fredenburg, dane.fredenburg@crs.org","The MIRA Study App measures the resilience by the people affected by the droughts in 2015 and how they are responding to shocks caused by the droughts. A network of field agents have been trained to administer a survey to selected households in the targeted areas, monthly.The data collected from a series of sentinel sites in southern Malawi is used to map out, with high precision, where the most food insecure households are, informing targeting decisions to improve food security and nutrition.","The MIRA Study App is deployed in 3 districts of Malawi namely Chikwawa, Blantyre and Nsanje","Adolescent and Youth Health,Civil registration and vital statistics,Environmental Health",Commcare,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.2 Insufficient health worker competence,3.3 Low quality of health commodities,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,4.1 Lack of alignment with local norms,4.2 Not addressing individual beliefs and practices,5.1 Low demand for services,5.2 Geographic inaccessibility,5.4 Loss to follow-up","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,N. Health Management Information System,O. Human Resource Information System,Q. Knowledge Management,R. Laboratory and Diagnostic System,S. Learning and Training System,T. Logistics Management Information System,U. Pharmacy Information System,V. Public health and disease surveillance",yes,Protective free and open source software,,https://www.commcarehq.org/a/crs-malawi/apps/view/2b6f517fb51f97fa49859f9387aa1c72/,,"JSON,XForms","Clients: 0, Health Workers: 0, Facilities: 0",,,no
eIMCI,United Republic of Tanzania,30/04/2008,30/04/2008,30/12/2009,D-tree International,Rockefeller Foundation,Harvard School of Public Health,"Erica Layer, ehlayer@gmail.com","An electronic version of IMCI (eIMCI) was developed to run on a Personal Digital Assistant (PDA) in 2008 and 2009. The eIMCI protocol followed the Ministry of Health’s IMCI protocol guiding health workers step by-step through the child’s assessment, classification, treatment, and communication of instructions. Observations were recorded by the health worker directly into the PDA. For symptoms that required additional follow-up to assess severity, the algorithm prompted the necessary questions.","Pwani Region (Bagamoyo District, Morogoro Urban District, Morogoro Rural District and Mkuranga District)",Newborn and Child Health,Commcare,"2.2 Insufficient supply of services,2.4 Insufficient supply of qualified health workers,3.1 Poor patient experience,3.2 Insufficient health worker competence,3.7 Poor adherence to guidelines","I. Emergency response system,L. Geographic Information Systems,M. Health finance and insurance system,N. Health Management Information System,R. Laboratory and Diagnostic System",no,Protective free and open source software,,,,JSON,,"District: Pwani [Clients: 550, Health Workers: 18, Facilities: 18]",,no
Medic at St Gabriel's Hospital,Malawi,13/01/2010,26/01/2018,,Medic Mobile,Skoll Foundation,St Gabriel's Hospital,"Alex Ngalande, unknown@yahoo.com","A DIY version of the Medic Mobile platform, allowing the St Gabriel's team to use their health volunteers to register pregnant mothers and adapt it for palliative care.",Namitete,"Cross Cutting,Maternal health",Community Health Toolkit,"1.2 Delayed reporting of events,3.5 Insufficient continuity of care,5.1 Low demand for services","B. Civil Registration and Vital Statistics,P. Identification registries and directories,U. Pharmacy Information System",no,Non protective free and open source software (e.g. Apache),https://github.com/medic/medic-webapp,https://github.com/medic/medic-webapp,https://github.com/medic/medic-docs,"JSON,mACM - Mobile Alert Communication Management",,"District: Central Region [Clients: 1000, Health Workers: 145, Facilities: 0]",,no
ONSE - Mobile Village Toolkit,Malawi,18/02/2018,14/11/2016,14/11/2021,Dimagi,USAID,"MSH, DIG, Dimagi, OSC, Village Reach, BLM","Rudi Thetard - ONSE Chief of Party, rthetard@msh.org","Health systems strengthening: Quality, accessible, high-impact interventions in IMCI, MNCH, FP/RH, malaria, WASH, and nutrition at the facility and community levels depends on reliable platforms for community engagement and feedback, in this case CommCare mHealth platform.","ONSE works in the following 16 districts in Malawi: 
Balaka, Chikwawa, Chitipa, Dowa, Karonga, Kasungu, Lilongwe, Machinga, Mangochi, Mchinji, Mulanje, Nkhata Bay, Nkhotakota, Ntcheu, Salima, Zomba","Adolescent and Youth Health,Civil registration and vital statistics,Cross Cutting,Environmental Health,Infectious diseases (non-vector borne),Maternal health,Newborn and Child Health,Nutrition and metabolic disorders,Sexual and reproductive health,Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs),Water Sanitation and Hygiene (WASH)",Commcare,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.4 Insufficient supply of qualified health workers,3.5 Insufficient continuity of care,4.1 Lack of alignment with local norms,5.2 Geographic inaccessibility,6.1 Inadequate workflow management,6.2 Lack of or inappropriate referrals","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,J. Environmental monitoring systems,L. Geographic Information Systems,P. Identification registries and directories,S. Learning and Training System,V. Public health and disease surveillance,Y. Telemedicine",no,Non protective free and open source software (e.g. Apache),,,,"JSON,XForms",,"District: Central Region [Clients: 3500, Health Workers: 300, Facilities: 55]",,no
USAID Health Systems Strengthening  Component of Maternal Child Survival Program,Pakistan,01/11/2016,29/01/2018,29/01/2018,JSI,USAID,,"Caitlin Viccora, caitlin_viccora@jsi.com",The project developed an integrated MIS dashboard that links data from all vertical service delivery programs. Dashboard used to streamline Government of Sindh Pakistan District Health Information system data collection and reporting for evidence based decision making. 23 districts of Sindh province are submitting monthly reports online and health managers are now reviewing the performance of each health facility through an online geo-located monitoring and supervision mechanism.,Pakistan,,Web,"1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,6.3 Poor planning and coordination","E. Clinical terminology and classifications,F. Community-based Information System",no,,,,,,,"District: 357981 [Clients: 0, Health Workers: 200, Facilities: 350]",,no
