ID,Parent Sector,Parent Sector (2),Parent Sector (3),Sub Sector (1),Sub Sector (2),Sub Sector (3),Sub Sector (4),Sector Source,Products,Products (2),Project Name,Slug,Organization,Origin,Notes,Comments
15,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,CommCare,,IeDA,ieda,"Terre des Hommes; Inter-American Development Bank (IADB); Malaria Consortium; Bloomberg School of Public Health, The Johns Hopkins University; Dimagi",Digital Health Atlas,,
16,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,Infectious Diseases,,,,,WeMUNIZE,wemunize,,Digital Health Atlas,,
17,"Digital, Data, and Technology",Health,,Capacity Development,Childcare,Neonatal,Family Planning,,,,The Malawi Digital Village Clinic (DVC),the_malawi_digital_village_clini,"John Snow, Inc. (JSI); Save the Children; Jhpiego; D-Tree International",Digital Health Atlas,https://www.d-tree.org/post/scaling-the-digital-village-clinic-in-malawi-using-our-six-step-approach  https://digitalimpactalliance.org/using-mobile-network-operator-data-for-covid-19-response/,Surveillance?
18,"Digital, Data, and Technology",Health,,Data Management and Policy,Big Data,,,,,,Namibia Master Facility List,namibia_master_facility_list,USAID; Measure Evaluation; Maternal and Child Survival Program,Digital Health Atlas,https://mfl.mhss.gov.na/home,
19,"Digital, Data, and Technology",Health,,Data Management and Policy,Childcare,Infectious Diseases,,,,,cStock - EPI,cstock__epi,Save the Children,Digital Health Atlas,https://apps.who.int/iris/bitstream/handle/10665/184982/WHO_RHR_14.29_eng.pdf;jsessionid=3D4094A2252201FE4B2EC8DFD2F98988?sequence=1,
20,"Digital, Data, and Technology",Health,,Data Management and Policy,Infectious Diseases,,,,OpenLMIS,,Vaccine Information Management System (VIMS),vaccine_information_management_s,PATH; Inter-American Development Bank (IADB),Digital Health Atlas,,
21,Health,,,,,,,,,,Health Information Mediator,health_information_mediator,,Digital Health Atlas,,
22,Health,,,Family Planning,,,,,CommCare,,Namibia Planned Parenthood Association (NAPPA),namibia_planned_parenthood_assoc,Jhpiego,Digital Health Atlas,https://www.ippf.org/about-us/member-associations/namibia,
23,"Digital, Data, and Technology",Health,,Food,,,,,CommCare,,UBALE (MIRA STUDY),ubale_mira_study,Catholic Relief Services (CRS),Digital Health Atlas,https://www.crs.org/our-work-overseas/research-publications/mira-measuring-resilience-malawi,
24,"Digital, Data, and Technology",Health,,Data Management and Policy,Childcare,Infectious Diseases,,,CommCare,,eIMCI,eimci,D-Tree International,Digital Health Atlas,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-019-6692-6,
25,"Digital, Data, and Technology",Health,,Data Collection,Neonatal,,,,Medic Mobile,,Medic at St Gabriel's Hospital,medic_at_st_gabriels_hospital,Medic Mobile; Israels Ministry of Health,Digital Health Atlas,,
26,Health,,,Infectious Diseases,Family Planning,Neonatal,,,CommCare,,ONSE - Mobile Village Toolkit,onse__mobile_village_toolkit,Dimagi,Digital Health Atlas,,
27,Health,,,Childcare,Neonatal,,,,,,USAID Health Systems Strengthening  Component of Maternal Child Survival Program,usaid_health_systems_strengtheni,"John Snow, Inc. (JSI)",Digital Health Atlas,,
28,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,Childcare,Neonatal,,CommCare,,ONSE  - Integrated Supportive Supervision Toolkit,onse__integrated_supportive_supe,Management Sciences for Health; Dimagi,Digital Health Atlas,,
29,Health,,,Childcare,Neonatal,,,,,,Safer Deliveries,safer_deliveries,Inter-American Development Bank (IADB); UNICEF Ventures Fund; D-Tree International; UNICEF Innovation Fund,Digital Health Atlas,,
30,Health,,,Neonatal,,,,,,,Mobilizing Maternal Health (MMH),mobilizing_maternal_health_mmh,Pathfinder International; D-Tree International,Digital Health Atlas,,
31,Health,,,Family Planning,,,,,,,Community Family Planning and Model Household Systems; Population Health Environment (PHE),community_family_planning_and_mo,Pathfinder International; D-Tree International,Digital Health Atlas,,
32,Health,,,Infectious Diseases,,,,,,,Sauti- HIV Prevention Program,sauti_hiv_prevention_program,Jhpiego; D-Tree International,Digital Health Atlas,,
33,,,,,,,,,,,Family Planning- to delete,family_planning_to_delete,Pathfinder International; Palladium; D-Tree International,Digital Health Atlas,"""to delete""?",
34,Health,,,Family Planning,,,,,,,Past - Family Planning Digital Health System for Community Health Workers- Mara Region with Shirati KMT Hospital,past__family_planning_digital_he,mPowering Frontline Health Workers; D-Tree International,Digital Health Atlas,,
35,Health,,,Neonatal,,,,,,,Hiwot: Addressing Maternal & Neonatal Health,hiwot_addressing_maternal__neona,D-Tree International,Digital Health Atlas,,
36,"Digital, Data, and Technology",Health,,Data Management and Policy,Infectious Diseases,,,,,,ARGUS,argus,World Health Organization (WHO); UNICEF Ventures Fund; Israels Ministry of Health; UNICEF Innovation Fund,Digital Health Atlas,,
37,Health,,,Infectious Diseases,Childcare,,,,,,Supporting LIFE,supporting_life,"University of Washington; Department of Global Health, University of Washington",Digital Health Atlas,,
38,"Digital, Data, and Technology",,,Data Management and Policy,Infectious Diseases,,,,DHIS2; Open Data Kit,,Malawi electronic integrated disease surveillance and response system (Malawi eIDSR),malawi_electronic_integrated_dis,World Bank,Digital Health Atlas,,
39,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,,,Improving Healthcare Capacity and Access using THINKMD's Clinical Decision Support Tool: Maternal Newborn & Child Health,improving_healthcare_capacity_an,ThinkMD,Digital Health Atlas,,
40,"Digital, Data, and Technology",Health,,Data Management and Policy,Childcare,,,,CommCare,,Integrated e-Diagnostic Approach,integrated_ediagnostic_approach,Dimagi; Terre des Hommes; Inter-American Development Bank (IADB); Malaria Consortium,Digital Health Atlas,,
41,"Digital, Data, and Technology",Health,,Data Collection,,,,,CommCare,,One Community,one_community,Dimagi,Digital Health Atlas,,
42,Health,,,Neonatal,,,,,,,Healthy Pregnancy / Healthy Baby,healthy_pregnancy__healthy_baby,Jhpiego,Digital Health Atlas,,
43,Health,,,Neonatal,Childcare,,,,RapidPro,,Project Mwana - RemindMI and Results160,project_mwana__remindmi_and_resu,UNICEF Ventures Fund; UNICEF Innovation Fund,Digital Health Atlas,,
44,Health,,,Infectious Diseases,,,,,DHIS2; RapidPro,,Projecto Exemplar,projecto_exemplar,Israels Ministry of Health,Digital Health Atlas,,
45,Health,,,Neonatal,Childcare,,,,,,MCSP Faclity and Community MCH application,mcsp_faclity_and_community_mch_a,Jhpiego; D-Tree International,Digital Health Atlas,,
46,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,CommCare; DHIS2,,upSCALE,upscale,Malaria Consortium; Dimagi; UNICEF Ventures Fund; UNICEF Innovation Fund,Digital Health Atlas,,
47,Health,,,Infectious Diseases,,,,,,,Hello Nurse,hello_nurse,Jhpiego,Digital Health Atlas,,
48,Health,,,Infectious Diseases,,,,,CommCare,,inSCALE Mz,inscale_mz,Malaria Consortium; Dimagi; Inter-American Development Bank (IADB),Digital Health Atlas,,
49,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,ETAT,etat,D-Tree International,Digital Health Atlas,,
50,,,,,,,,,,,HelloNurse,hellonurse,Jhpiego,Digital Health Atlas,two entries from different sources; merge?,
51,"Digital, Data, and Technology",Social Development and Education,Health,E-learning,Platform Creation,,,,Oppia,,OppiaMobile,oppiamobile,Digital Campus,Digital Health Atlas,,
52,"Digital, Data, and Technology",Health,,Infectious Diseases,Childcare,,,,RapidPro,,mVaccination,mvaccination,UNICEF Ventures Fund; UNICEF Innovation Fund,Digital Health Atlas,,
53,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,DHIS2,dhis2,ThinkMD,Digital Health Atlas,,
54,"Digital, Data, and Technology",Health,,Infectious Diseases,Data Collection,,,,DHIS2,,Lesotho eRegister,lesotho_eregister,ThinkMD; World Health Organization (WHO); Dimagi,Digital Health Atlas,,
55,Health,,,Infectious Diseases,,,,,DHIS2,,HIV and Health Situation Rooms,hiv_and_health_situation_rooms,Pathfinder International,Digital Health Atlas,,
56,"Digital, Data, and Technology",Health,Social Development and Education,E-learning,,,,,OpenMRS,,Diabetes Self-Management Support and Education Through Text-Messaging,diabetes_selfmanagement_support,Jhpiego,Digital Health Atlas,,
57,Health,,,Infectious Diseases,,,,,,,FreedomTB - Active Compliance and Treatment Strategy for combating Tuberculosis using Technology.,freedomtb__active_compliance_and,Maternity Foundation,Digital Health Atlas,,
58,"Digital, Data, and Technology",Health,,Infectious Diseases,Platform Creation,,,,MOTECH,,:  Improving outcomes in HIV patients usingmobile phone based interactive software support,_improving_outcomes_in_hiv_patie,Management Sciences for Health,Digital Health Atlas,possible typo in the name,
59,"Digital, Data, and Technology",Health,,Gender,Childcare,Neonatal,Family Planning,,,,MIRA Channel - m-Health Solution on RMNCH+A for Rural Women,mira_channel__mhealth_solution_o,Maternity Foundation; PATH,Digital Health Atlas,,
60,Health,,,Family Planning,,,,,,,Raedat Refiat dHealth system,raedat_refiat_dhealth_system,Save the Children,Digital Health Atlas,,
61,Health,,,Family Planning,,,,,,,IVRS - Family Planning info and client feedback,ivrs__family_planning_info_and_c,Jhpiego,Digital Health Atlas,,
62,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,Safe Delivery App- India,safe_delivery_app_india,Maternity Foundation; Jhpiego; The Government of Indias Ministry of Electronics and Information Technology; Inter-American Development Bank (IADB),Digital Health Atlas,,
63,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,OpenMRS,,ART ACCESS,art_access,UNICEF Ventures Fund; UNICEF Innovation Fund,Digital Health Atlas,,
64,Health,,,,,,,,,,Dot,dot,,Digital Health Atlas,,
65,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,DHIS2,,cStock/DHIS2,cstockdhis2,"Health Information Systems Programme (HISP), University of Oslo; UNICEF Ventures Fund; UNICEF Innovation Fund",Digital Health Atlas,,
66,"Digital, Data, and Technology",Health,Other,Data Management and Policy,Infectious Diseases,Supply chain and logistics ,,,OpenLMIS,,Sistema Electronico de Logstica de Vacinas (SELV),sistema_electronico_de_logstica,VillageReach; Inter-American Development Bank (IADB),Digital Health Atlas,,
67,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App- Ethiopia,the_safe_delivery_app_ethiopia,Maternity Foundation; United Nations Population Fund (UNFPA); Inter-American Development Bank (IADB),Digital Health Atlas,,
68,"Digital, Data, and Technology",Health,,Data Management and Policy,Infectious Diseases,,,,Open Data Kit; RapidPro,,mSpray`,mspray,Akros; Center for International Private Enterprise (CIPE); Abt Associates; Inter-American Development Bank (IADB),Digital Health Atlas,,
69,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,Childcare,Infectious Diseases,,Medic Mobile,,BID INITIATIVE,bid_initiative,"PATH; John Snow, Inc. (JSI); Inter-American Development Bank (IADB)",Digital Health Atlas,,
70,"Digital, Data, and Technology",Health,,Platform Creation,Infectious Diseases,,,,DHIS2,,Malaria Case-based Reporting mobile application,malaria_casebased_reporting_mobi,PSI ,Digital Health Atlas,,
71,"Digital, Data, and Technology",Health,,Family Planning,,,,,,,Men Stand Up: mobile research and human-centered design to engage  men in sexual health decisions,men_stand_up_mobile_research_and,Viamo; Inter-American Development Bank (IADB),Digital Health Atlas,,
72,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,Infectious Diseases,,,,,Detecting TB with eDetection,detecting_tb_with_edetection,,Digital Health Atlas,,
73,"Digital, Data, and Technology",Health,,Data Management and Policy,Infectious Diseases,,,,,,Using eCompliance Biometrics to Combat TB Patient Default,using_ecompliance_biometrics_to,,Digital Health Atlas,,
74,Health,,,,,,,,,,eAlert,ealert,,Digital Health Atlas,,
75,Health,,,,,,,,,,eReceipt,ereceipt,,Digital Health Atlas,,
76,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Electronic Medical Records System,electronic_medical_records_syste,,Digital Health Atlas,,
77,Health,,,,,,,,,,Trip Tracker,trip_tracker,,Digital Health Atlas,,
78,"Digital, Data, and Technology",Health,,Neonatal,Childcare,,,,,,Nighedaasht,nighedaasht,Institute of Development Studies (IDS); Charlie Goldsmith Associates; Norwegian Meteorological Insitute,Digital Health Atlas,,
79,"Digital, Data, and Technology",Health,,Data Collection,,,,,,,eSurvey,esurvey,,Digital Health Atlas,,
80,"Digital, Data, and Technology",Health,,Data Collection,,,,,CommCare,,Medical Incident Reporting System Innovation (MIRSI),medical_incident_reporting_syste,Jhpiego,Digital Health Atlas,,
81,"Digital, Data, and Technology",Health,,Platform Creation,,,,,,,AskNivi,asknivi,Code for Romania; Jhpiego; PharmAccess Foundation ,Digital Health Atlas,,
82,"Digital, Data, and Technology",Health,,Platform Creation,,,,,OpenHIM,,eCounseling,ecounseling,,Digital Health Atlas,,
83,"Digital, Data, and Technology",Health,,Platform Creation,Data Collection,,,,OpenHIM,,eQuality,equality,,Digital Health Atlas,,
84,"Digital, Data, and Technology",Health,,Platform Creation,,,,,OpenHIM,,eFAQ,efaq,,Digital Health Atlas,,
85,"Digital, Data, and Technology",Health,,,,,,,,,eNutrition,enutrition,,Digital Health Atlas,,
86,"Digital, Data, and Technology",Health,,Nutrition,,,,,,,personal women’s health advice via mobile chat,personal_womens_health_advice_vi,,Digital Health Atlas,,
87,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,OpenELIS Global in Cote  d'Ivoire,openelis_global_in_cote_divoire,World Health Organization (WHO),Digital Health Atlas,,
88,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,OpenELIS Global in Haiti,openelis_global_in_haiti,"University of Washington; Department of Global Health, University of Washington",Digital Health Atlas,,
89,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,Open Data Kit,,Healthsites,healthsites,CartONG; Humanitarian Open Street Map Team; Radiant Earth,Digital Health Atlas,,
90,Health,,,Infectious Diseases,,,,,MOTECH,,Mobile Training and Support (MOTS),mobile_training_and_support_mots,Grameen Foundation; World Vision International,Digital Health Atlas,,
91,"Digital, Data, and Technology",Health,,,,,,,,,ImTeCHO (Innovative Mobile Phone Technology for Community Health Operations),imtecho_innovative_mobile_phone,Intrahealth International,Digital Health Atlas,,
92,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,OpenHIM; HEARTH,,An Instant OpenHIE,an_instant_openhie,Intrahealth International; Jembi Health Systems NPC,Digital Health Atlas,"Also appears under the name "" Instant OpenHIE"" on the catalog ",
93,"Digital, Data, and Technology",Health,,Data Management and Policy,Neonatal,Childcare,,,Blood Safety Information System,,Blood Safety Strengthening  Programme: Blood Safety Information System (BSIS) Implementation,blood_safety_strengthening_progr,World Health Organization (WHO); Jembi Health Systems NPC,Digital Health Atlas,,
94,"Digital, Data, and Technology",Health,,Platform Creation,,,,,iHRIS,,Uganda Strengthening Human Resources for Health,uganda_strengthening_human_resou,Intrahealth International,Digital Health Atlas,,
95,"Digital, Data, and Technology",Health,Social Development and Education,Platform Creation,Media and Communication,,,,RapidPro,,mHero Liberia,mhero_liberia,Intrahealth International,Digital Health Atlas,,
96,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,Neonatal,,,CommCare,,Maternal Health Open MRS Sierra Leone,maternal_health_open_mrs_sierra,PATH,Digital Health Atlas,,
97,"Digital, Data, and Technology",Health,,Infectious Diseases,,,,,,,cStock Epi Sierra Leone,cstock_epi_sierra_leone,PATH,Digital Health Atlas,,No description
98,"Digital, Data, and Technology",Health,,Platform Creation,,,,,Open Data Kit,,Building a national health map in a week,building_a_national_health_map_i,Nafundi; Israels Ministry of Health; World Health Organization (WHO); Inter-American Development Bank (IADB),Digital Health Atlas,,
99,"Digital, Data, and Technology",Health,,,,,,,,,Global Digital Health Index,global_digital_health_index,HealthEnabled; Inter-American Development Bank (IADB),Digital Health Atlas,,
100,"Digital, Data, and Technology",Health,,Data Collection,Infectious Diseases,,,,Open Data Kit,,eLQAS: Collecting real-time polio vaccination data,elqas_collecting_realtime_polio,Nafundi; Israels Ministry of Health; Inter-American Development Bank (IADB),Digital Health Atlas,,
101,"Digital, Data, and Technology",Health,,Data Collection,Infectious Diseases,,,,Open Data Kit,,Documenting a focused polio vaccination round,documenting_a_focused_polio_vacc,Nafundi; Israels Ministry of Health; World Health Organization (WHO); Inter-American Development Bank (IADB),Digital Health Atlas,,
102,"Digital, Data, and Technology",Health,,Platform Creation,,,,,DHIS2; OpenMRS,,Lorem Ipsum for Digital Health,lorem_ipsum_for_digital_health,Intrahealth International,Digital Health Atlas,,
103,"Digital, Data, and Technology",Health,,Data Collection,,,,,Moodle; Logistimo,,Scaling health worker capacity at the last-mile of health supply chains using mobile phones,scaling_health_worker_capacity_a,United Nations Development Programme (UNDP); Logistimo,Digital Health Atlas,,
104,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,OpenLMIS,,OpenLMIS,openlmis,Center for International Private Enterprise (CIPE); Chemonics; Dimagi; Inter-American Development Bank (IADB),Digital Health Atlas,,
105,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Planwise - Optimizing Geospatial Network Coverage Program,planwise__optimizing_geospatial,InSTEDD; Inter-American Development Bank (IADB),Digital Health Atlas,,
106,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,OpenLMIS,,eLMIS Facility Edition (FE),elmis_facility_edition_fe,"John Snow, Inc. (JSI)",Digital Health Atlas,,
107,"Digital, Data, and Technology",Health,,Platform Creation,,,,,OpenLMIS,,eLMIS Facility Edition   (FE),elmis_facility_edition_fe,,Digital Health Atlas,two entries one missing organization; merge?,
108,"Digital, Data, and Technology",Health,,Platform Creation,,,,,OpenLMIS,,eLMIS Facility  Edition (FE),elmis_facility_edition_fe,,Digital Health Atlas,two entries one missing organization; merge?,
109,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,Pharmadex,,PharmaDex,pharmadex,Management Sciences for Health,Digital Health Atlas,,
110,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,DHIS2,,Implementation of a Performance-Based Financing Data System for Cameroon,implementation_of_a_performanceb,World Bank,Digital Health Atlas,,
111,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,DHIS2,,Implementation of a Performance-Based Financing Data System for Zimbabwe,implementation_of_a_performanceb,World Bank,Digital Health Atlas,,
112,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,DHIS2,,Implementation of a Performance-Based Financing Data System for Senegal,implementation_of_a_performanceb,World Bank,Digital Health Atlas,,
113,"Digital, Data, and Technology",Health,,Data Management and Policy,Neonatal,Childcare,,,Blood Safety Information System,,Blood Safety Strengthening Programme: Blood Safety Information System (BSIS) Implementation,blood_safety_strengthening_progr,World Health Organization (WHO); Jembi Health Systems NPC,Digital Health Atlas,two entries,seen twice on catalog
114,"Digital, Data, and Technology",Health,,Data Management and Policy,Neonatal,Childcare,,,Blood Safety Information System,,Blood Safety Strengthening  Programme: Blood Safety Information System (BSIS),blood_safety_strengthening_progr,World Health Organization (WHO); Jembi Health Systems NPC,Digital Health Atlas,,
115,Social Development and Education,State and Democracy (Good Governance),,Education,Freedom of Speech and Access to Information,,,,,,Non-discriminating access for Digital Inclusion (DigI),nondiscriminating_access_for_dig,,Digital Health Atlas,,
116,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,Resource Map,,"Mobile Facility Mapper using crowdsourced data, Open Street Maps and Resource Map OpenHIE Register",mobile_facility_mapper_using_cro,InSTEDD; Development Alternatives Incorporated (DAI); Project Balance,Digital Health Atlas,,
117,"Digital, Data, and Technology",Health,,Platform Creation,Data Collection,Infectious Diseases,,,,,Connect for Life - Mumbai Districts Aids Control Society (MDACS),connect_for_life__mumbai_distric,,Digital Health Atlas,,
118,"Digital, Data, and Technology",Health,,Infectious Diseases,,,,,,,Connect for Life - Sustained Health Initiative of the Philippines (SHIP),connect_for_life__sustained_heal,,Digital Health Atlas,,
119,"Digital, Data, and Technology",Health,,Infectious Diseases,,,,,,,Connect for Life - Infectious Disease Institute (IDI),connect_for_life__infectious_dis,,Digital Health Atlas,,
120,"Digital, Data, and Technology",Health,,Infectious Diseases,,,,,,,Connect for Life- Solidarity and Action Against the HIV Infection in India (SAATHII),connect_for_life_solidarity_and,,Digital Health Atlas,,
121,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,CommCare; DHIS2; OpenMRS,,NepalEHR,nepalehr,GIZ,Digital Health Atlas,,
122,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Helm PHR,helm_phr,,Digital Health Atlas,,
123,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Scaling of BLIS 3.0 Implementation Across Africa,scaling_of_blis_30_implementatio,Dimagi,Digital Health Atlas,,
124,"Digital, Data, and Technology",Health,,Data Collection,Infectious Diseases,,,,CommCare,,mSante,msante,Jhpiego,Digital Health Atlas,,
125,"Digital, Data, and Technology",Health,,Childcare,Gender,,,,Medic Mobile,,Medic App in Siaya County in partnership with Ministry of Health,medic_app_in_siaya_county_in_par,Medic Mobile; Israels Ministry of Health,Digital Health Atlas,,
126,Health,,,,,,,,,,Duplicate Resolver,duplicate_resolver,,Digital Health Atlas,,
127,"Digital, Data, and Technology",Health,,Platform Creation,,,,,iHRIS,,Duty Roster and Attendance Tracking Mobile Application,duty_roster_and_attendance_track,Intrahealth International; UK Department for International Development (DFID),Digital Health Atlas,,
128,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,,,Lab Information System,lab_information_system,Jhpiego,Digital Health Atlas,,
129,"Digital, Data, and Technology",Health,,Data Management and Policy,Platform Creation,,,,,,SMS Notification System,sms_notification_system,World Health Organization (WHO),Digital Health Atlas,,
130,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Electronic Logistics Management and Inventory Management System,electronic_logistics_management,United Nations Population Fund (UNFPA),Digital Health Atlas,,
131,"Digital, Data, and Technology",Health,,,,,,,,,USAID Communicate for Health,usaid_communicate_for_health,USAID; Viamo,Digital Health Atlas,https://pdf.usaid.gov/pdf_docs/PA00TQWN.pdf,
132,"Digital, Data, and Technology",Health,,Childcare,Neonatal,,,,CommCare,,"Scaling Up Maternal, Newborn, and Child Health in Guatemala 2016 - 2020",scaling_up_maternal_newborn_and,Charlie Goldsmith Associates,Digital Health Atlas,,
133,"Digital, Data, and Technology",Health,,Nutrition,Food,,,,,,"MNCH mobile content with nutrition focus, available in Kiswahili and English in SMS and voice transcript format",mnch_mobile_content_with_nutriti,Viamo; Cardno International Development; PATH,Digital Health Atlas,,
134,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App in Ghana,the_safe_delivery_app_in_ghana,Maternity Foundation; Inter-American Development Bank (IADB),Digital Health Atlas,,
135,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App in Laos,the_safe_delivery_app_in_laos,Maternity Foundation; United Nations Population Fund (UNFPA); World Bank; Inter-American Development Bank (IADB),Digital Health Atlas,,
136,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App in Myanmar,the_safe_delivery_app_in_myanmar,Maternity Foundation; Inter-American Development Bank (IADB),Digital Health Atlas,,
137,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App in Benin,the_safe_delivery_app_in_benin,Maternity Foundation; Inter-American Development Bank (IADB),Digital Health Atlas,,
138,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App in Sierra Leone,the_safe_delivery_app_in_sierra,Maternity Foundation; Inter-American Development Bank (IADB),Digital Health Atlas,,
139,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,"The Safe Delivery App in MIMAROPA, Philippines",the_safe_delivery_app_in_mimarop,Maternity Foundation; Inter-American Development Bank (IADB),Digital Health Atlas,,
140,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App in Togo (part of DI 2018 Project),the_safe_delivery_app_in_togo_pa,Maternity Foundation; Inter-American Development Bank (IADB); JICA,Digital Health Atlas,,
141,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App- Kenya,the_safe_delivery_app_kenya,Maternity Foundation; Inter-American Development Bank (IADB),Digital Health Atlas,,
142,"Digital, Data, and Technology",Health,,Neonatal,,,,,,,The Safe Delivery App- Tanzania,the_safe_delivery_app_tanzania,Maternity Foundation; Inter-American Development Bank (IADB),Digital Health Atlas,,
143,Rural Development,,,Agricultural Production and Use of Resources,Regional Development,Standards,,,,,Mwandama Millennium Village Malawi,mwandama_millennium_village_mala,,Digital Health Atlas,,
144,"Digital, Data, and Technology",Health,,Data Collection,,,,,,,Malawi EID ART Initiation Tracking,malawi_eid_art_initiation_tracki,UNICEF Ventures Fund; UNICEF Innovation Fund,Digital Health Atlas,,
145,"Digital, Data, and Technology",Health,,Data Collection,,,,,,,eIDSR Case Based Surveillance App Malawi,eidsr_case_based_surveillance_ap,World Bank,Digital Health Atlas,,
146,"Digital, Data, and Technology",Health,,Platform Creation,,,,,,,Chipatala Cha Pa Foni (CCPF) Health Center by Phone Malawi,chipatala_cha_pa_foni_ccpf_healt,,Digital Health Atlas,,
