Platform Name,Jurisdiction of Origin,Pillar,Lead Organization,Description,Partners,Open Source + Repo,Link
DHIS2,South Africa,Benefits - Health,Health Information Systems Program (HISP) at the University of Oslo,"District Health Information Software 2 (DHIS2) is an open source, web-based health management information system (HMIS) platform. Today, DHIS2 is the world's largest HMIS platform, in use by 72 low and middle-income countries. 2.30 billion people live in countries where DHIS2 is used. With inclusion of NGO-based programs, DHIS2 is in use in more than 100 countries.",N/A,https://github.com/dhis2,https://www.dhis2.org/
OpenLMIS,"Tanzania, Zambia",Benefits - Health,OpenLMIS,"Open source software designed specifically to manage public health supply chains in logistics management information systems. Manages inventory of medical supplies including diagnostics, cold chain equipment, PPE. Dashboard of visual reports aids national decisionmakers in resource allocation. ","Rockefeller Foundation, Tanzania Ministry of Health and Social Welfare, the Zambia Ministry of Health, USAID, PATH, VillageReach, ThoughtWorks, Bill & Melinda Gates Foundation, the UN Commission on Life-Saving Commodities, John Snow, Inc.",https://github.com/OpenLMIS/openlmis-ref-distro,https://openlmis.org/
Community Health Toolkit,Unknown,Benefits - Health,Medic Mobile,"The Community Health Toolkit is a global public good that includes open-source technologies for CHWs and supervisors; open-access resources; and a community of practice to advance universal healthcare. It provides community & event-based surveillance (currently deployed with Kenyan Ministry of Health for non-Covid-19 cases), case-finding & contact tracing, SMS/USSD check-ins by self-quarantined persons, educational messaging including protective measures for CHWs & communities, referrals & treatment adherence, and data harmonization with other platforms.","brac, Cornell Tech, University of Washington Department of Global Health And Allen School of Engineering, d.tree, Harvard Medical School, i-Tech, Last Mile Health, Living Goods, Muso, OppiaMobile, Pivot, Possible, Samanvay, University of California San Francisco",https://github.com/medic/cht-core,https://medicmobile.org/tools
Product Catalog Manaement Tool (PCMT),Unknown,Benefits - Health,VillageReach,"The Project Catalog Management Tool (PCMT), an open-source software tool released in January 2020, allows organizations to publish and manage product catalogs. Based on Akeneo, it connects many different identifiers used by different systems and provides support for a gradual transition to GS1 – a global standard for identifying medicines and products in health and many industries. PCMT allows for interoperability across the eHealth ecosystem and across the supply chain from manufacturer to patient.","Bill & Melinda Gates Foundation, Digital Square, Global FP VAN, USAID, SolDevelo",https://pcmt.gitlab.io/website/,null
a2i,Bangladesh,"Benefits, Digital Payments","ICT Division, Ministry of Posts, Telecommunications and Information Technology, Government of Bangladesh","a2i is a whole-of-government plan to digitize government services to make them available to all Bangladeshi over 10 years. Facets of the strategy include innovation funding models, monitoring and evaluation frameworks, user-centered design training modules, and digital tools to make it easier to access financial government services. So far, ~700 services have been digitized, which has saved an estimated $8B in government resources, drove increases in economic development metrics and streamlined government services.","Cabinet Division (Government of Bangladesh), UNDP",No,https://a2i.gov.bd
YourSAy,Australia,Civic Participation,"Better Together team, Department of the Premier and Cabinet, South Australia","YourSAy is an online consultation hub where citizens can influence government decisions. Some of the ways users can participate: GOVchat, a community engagement event where users can chat with senior leaders through digital and mobile formats about specific issues; YourSAy Engagements, to take part in online discussions; voting in polls; and Fund My Community for local participatory budgeting efforts.",N/A,No,https://yoursay.sa.gov.au/
BA Obras,Buenos Aires,Civic Participation,Buenos Aires Data,"BA Obras is a website aimed at informing the citizens about the progress of the planned construction works in their jurisdiction. The project is a website that loads the relevant data from a csv file and builds data visualizations from it about the progress, state, cost and other attributes from each of the works. The website generates a view that lists all the planned works and also generates a view for each of the works. The site can be embed into other sites.",City of Buenos Aires,https://github.com/datosgcba/obras-abiertas/,obras.buenosaires.gob.ar
i-Voting,Estonia,Civic Participation,Cybernetica,"i-Voting is a system that allows voters to cast their ballots from any internet-connected computer anywhere in the world. Voters logs onto the system using an ID-card or Mobile-ID, and casts a ballot. The voter’s identity is removed from the ballot before it reaches the National Electoral Commission for counting, thereby ensuring anonymity. Estonia’s solution to forced or bought votes was to allow voters to log on and vote as many times as they want during the pre-voting period. Since each vote cancels the last, a voter always has the option of changing his or her vote later.",TIVI,https://github.com/vvk-ehk/ivxv,https://www.valimised.ee/en/internet-voting/internet-voting-estonia
NosDéputé.fr,France,Civic Participation,RegardsCitoyens.org,"NosDéputé.fr is a site which seeks to highlight the parliamentary activity of the deputies of the French National Assembly. By synthesizing the various legislative and control activities of the government of the nation's elected officials, this site tries to give citizens new tools to understand and analyze the work of their representatives, as well as contribute their expertise and opinions.",N/A,https://data.regardscitoyens.org/nosdeputes.fr/ https://github.com/nrv/nosdeputes-stats,https://www.nosdeputes.fr/
Open Fisca,France,Civic Participation,Open Fisca,"OpenFisca allows users to use survey data to simulate the impact of a reform on a given government’s budget and on a population’s standard of living. It also allows public administrators to stop building siloed software, and instead collaborate with other administrations and reduce the bill for the taxpayer.","Institut des Politiques Publiques, etalab, sante famille retraite services, beta.gouv.fr, institut d-economie publique, France Strategie",https://github.com/openfisca/openfisca-france,https://fr.openfisca.org/
Your Priorities (YRPRI),Iceland,Civic Participation,Citizens Foundation,"Your Priorities is an eDemocracy web application designed to help groups speak with one voice. A host of municipal governments use YRPRI for participatory projects, such as crowdsourcing ideas or participatory budgeting. The community has over 11,000 registered users, with more than 6,000 proposals generated and over 10,000 arguments for and against proposals submitted.",N/A,https://github.com/CitizensFoundation/your-priorities-app,https://yrpri.org/
MyGov.in,India,Civic Participation,"National Informatics Centre, Government of India",MyGov is a citizen engagement platform to promote the active participation of Indian citizens in their country's governance and development.It is aimed at creating a common platform for Indian citizens to crowdsource policy ideas and close the legislative participation gap between the electorate and representatives after being elected.,N/A,No,https://www.mygov.in/
e-Sampark,India,Civic Participation,"Ministry of Electronics & Infomration Technology, Government of India","e-Sampark is a mechanism to connect the government directly with citizens across India by running mailer, outbound dialing and SMS campaigns. The platform is used for sharing informational and public service messages.",N/A,No,https://sampark.gov.in/Sampark/
Pombola,Kenya,Civic Participation,mySociety,"Pombola is an open source software for running parliamentary monitoring websites. It was originally based on a UK-based site called "TheyWorkForYou", also created by mySociety, and republished under different names based on the country of deployment (Mzalendo, Odekro, Shine Your Eye, People's Assembly). It allows for publishing parliametary transcripts and host data on politicians for public reference.","Omidyar Network, the Indigo Trust",https://github.com/mysociety/pombola,https://info.mzalendo.com/
CONSUL,Madrid,Civic Participation,null,"CONSUL is a civic participation platform that allows citizens to submit and gain support for proposals to improve municipal government. Citizens can propose and decide how their jurisdictions spend their budget, formulate collaborative legislation and debate current topics. Citizens can also vote on both proposals by citizens and those being deliberated in institutional bodies. It was first deployed for Decide Madrid and has since expanded to over 100 jurisdictions.","United Nations Development Programme, Inter-American Development Bank, European Union, Nesta, Enreada, Democrateam",https://github.com/consul/consul/,https://consulproject.org/en/
Better Reykjavík,Reykjavík,Civic Participation,City of Reykjavík,Better Reykjavík is an online consultation forum where citizens are given the chance to present their ideas on issues regarding services and operations of the City of Reykjavík. Anyone can view the open forum and registered users who approve the terms of participation can participate in the forum. It was based on the Decide Madrid platform.,Citizen Foundation,https://github.com/CitizensFoundation/your-priorities-app,https://betrireykjavik.is/
Gobierto,Spain,Civic Participation,Populate,"Gobierto is an open source program that provides a set of tools to power efforts from public administrations towards transparency and citizen engagement, to enable them to communicate better with their constituents and put public open data to work. Gobierto can setup a site for municipalities to publish their budgets and present them intuitively to users,and compare them with other similar participating municipalities. It has been used by the municipal governments of Valencia, Barcelona, Catalunya, Madrid, and Esplugues. ",N/A,https://github.com/populatetools/gobierto,https://gobierto.es/
Join,Taiwan,Civic Participation,Office of the Digital Minister of Taiwan,"Join facilitates two-way communication between government offices and members of the public on regulatory matters. Although independent of the vTaiwan platform, it also utilizes Pol.is to create consensus. Unlike vTaiwan, issues on Join extend beyond digital economy issues and attracts a broader, less tech-savvy audience than the hackvisit audience of vTaiwan.",National Development Council of Taiwan,No,https://join.gov.tw/
vTaiwan,Taiwan,Civic Participation,g0v,"VTaiwan enables citizens, civil-society organizations, experts, and elected representatives to discuss proposed laws via its website as well as in face-to-face meetings and hackathons. Its goal is to help policymakers make decisions that gain legitimacy through consultation.",N/A,https://github.com/g0v/vue.vtaiwan.tw,https://vtaiwan.tw/
Pol.is,Taiwan,Civic Participation,g0v,"A key open source module within vTaiwan platform. Pol.is is a comment wall where anyone can post comments to a given debate, and people can upvote or downvote other peoples' comments. The board doesn't allow replies to comments which deters trolls, and upvotes and downvotes cluster similar-minded viewpoints. Ideas can then be mapped and new comments that find compromise between highly-voted ideas can gain even more upvotes, gradually eliminate gaps, and create consensus.",N/A,https://github.com/pol-is/,http://pol.is/
0archive,Taiwan,Civic Participation,g0v,"0archive is a collection system that uses open-source "scrapers" that gather large amounts of online media including webpages and social networks, to create a dataset for later analysis. This also allows for permanent storage of webpages even after they go offline. Researchers can then simply run searches against this dataset to find whatever data that is relevant to their work, including for fact-checking, documentation of hate speech and other harmful speech, and to understand broader trends in the online media space. ","National Democratic Institute, International Republican Institute",https://github.com/disinfoRG/,https://g0v.hackmd.io/1q2T7WWbRCS837oT68uPmA?view
CoFacts,Taiwan,Civic Participation,g0v,"CoFacts is a collaborative fact-checking project that combines a chatbot with a hoax database, integrated within LINE, a popular instant messenger app in Asia. CoFacts enables users submit content to a chatbot that cross-reference content with peer reviews of the content, substantiated with citations. This enables users to crowdsource reviews on the content and make a decision whether or not to trust the content.",N/A,https://github.com/cofacts,https://cofacts.g0v.tw/
Government Budget Visualization,Taiwan,Civic Participation,g0v,"The project supercharges citizens with the power of visualization and social network to supervise government spending. It displays different perspectives of budget data like historical trend, cross-department comparison, public opinion and component breakdown of tax by government spending with interactive treemap, bubble chart and feedback mechanism.",N/A,https://github.com/g0v/twbudget,https://tictec.mysociety.org/2018/presentation/cofact-factchecking
Campaign Finance crowdsourcing,Taiwan,Civic Participation,g0v,"In Taiwan, politician campaign finance data is only available in paper format. To open the data, this project conducted captcha-like game to crowdsourcing OCR on 2637 pages of Control Yuan's non-digitized version of political contributions data. A total of 309k entries have been translated into organized data and web API within 24 hours.",N/A,https://github.com/lackneets/campaign-finance,http://campaign-finance.g0v.lackneets.tw/
Legislator Voting Guide,Taiwan,Civic Participation,g0v," Legislator Voting Guide helps citizens gain more information about what legislators did in the past with quantitative approach and visualizations. Legislators are sorted in various charts according to their records of absence, amount of legal proposal, etc. Their campaign websites and backgrounds are also provided for cross reference. ",N/A,https://github.com/g0v/twly-voter-guide,https://vote.ly.g0v.tw/
iVoting,Taiwan,Civic Participation,"Department of Information Technology, Taipei City","iVoting is an online polling platform that allows people to submit proposals on issues to be voted on by the public, if they are approved by city officials and a public participatory committee. Proposals from the public must garner 3,000 online signatures within two months and pass the committee, as well as agency reviews, before making it to the city government.",N/A,https://github.com/taipeicity/i-voting,https://ivoting.taipei/
Alaveteli,United Kingdom,Civic Participation,mySociety,"An open-source platform for making public freedom of information requests to public bodies. All requests made through Alaveteli, and their responses are published online for everyone to see. It has been deployed in 25 jurisdictions to make over 315,000 requests.",N/A,https://github.com/mysociety/alaveteli,https://alaveteli.org/
Gov.UK Notify,United Kingdom,Civic Participation,UK Government Digital Service,"Send emails, text messages and letters to users. No technical knowledge is required to use Notify, and administrators can see how message delivery and engagement performs.",N/A,https://github.com/alphagov/notifications-admin,https://www.notifications.service.gov.uk/
X-Tee (X-Road),Estonia,Data Exchange,Nordic Institute for Interoperability Solutions (NIIS),"X-Tee a data exchange layer that enables government agencies to securely and easily share data with each other.  X-Tee enables each government agency can store citizen information, and securely share information with other agencies who are given proper consent. It also provides the government with a secure way to exchange data with private entities, given compliance to privacy regulations. X-Tee was called X-Road until 2018.",Republic of Estonia Information Systems Authority,https://github.com/nordic-institute,https://x-road.global/
Telematics Infrastructure,Germany,Data Exchange,Gematik,"The telematics infrastructure is a data exchange network that enables doctors, insurance providers, and patients to transfer data securely and easily.","Ministry of Health, Germany",No,N/A
Mobile Seva,India,Data Exchange,"Ministry of Electronics & Infomration Technology, Government of India","Mobile Seva aims to leverage wireless and new media technology platforms, mobile devices and applications for delivery of public information and services to all citizens and businesses. It widens the reach of, and access to, public services to all citizens in the country, especially in the rural areas by exploiting the much greater penetration of mobile phones in the country. It also leverages the innovative potential of mobile applications in providing public services.",N/A,No,https://mgov.gov.in
National Urban Innovation Stack,India,Data Exchange,Ministry of Housing & Urban Affairs (MoHUA),"A layered digital infrastructure to strengthen the capability of the urban ecosystem, to identify urban challenges and solve them at speed and scale. It provides government, academia, the private sector and civil society with digital tools and platforms, standards, and certifications to create more efficient urban areas.",National Institute for Urban Affairs,https://www.nuis.in/,https://www.nuis.in/
India Urban Data Exchange (IUDX),India,Data Exchange,Ministry of Housing & Urban Affairs (MoHUA),"IUDXis an open source software platform that allows smart cities and citizens to exchange data to improve city services. It includes a repository of reference architecture, technical specifications, APIs and data models to standardize the use of data to improve utility and accessibility.",N/A,https://github.com/iudx,https://www.iudx.org.in/
mHero,Liberia,Data Exchange,IntraHealth International,"mHero is a two-way, mobile phone-based communication system that connects ministries of health and health workers. mHero brings together existing health information systems with locally popular communication platforms to facilitate the exchange of important health information. ",UNICEF,https://github.com/intrahealth/emNutt,https://www.mhero.org/about
Application Programming Interface Exchange (APEX),Singapore,Data Exchange, Government Technology Agency of Singapore,"A platform that enables agencies across the government to exchange data, and to securely share data externally with private entities through APIs. APEX substantially reduce the number of times citizens need to submit their data for government applications, and government institutions can share data with the private sector safely to improve service delivery.",N/A,No,(only available on Government Intranet) https://www.developer.tech.gov.sg/technologies/data-and-apis/apex.html
Data.gov.sg,Singapore,Data Exchange,Government Technology Agency of Singapore (GovTech),Data.gov.sg is a unified portal for publicly-available databases and APIs that enable an open data ecosystem across 70 government agencies and many private sector entities.  ,N/A,https://data.gov.sg/,https://data.gov.sg/
Singapore Government Design System,Singapore,Data Exchange,Government Technology Agency of Singapore (GovTech),A collection of digital components trusted by the Singaporean Government to help developers create new useful public sector digital tools. ,N/A,https://github.com/govtechsg/sgds,https://www.designsystem.tech.gov.sg/
Citizen Access to Administration Files (ACCEDA),Spain,Data Exchange,"Ministerio de Política Territorial y Función Pública, Spain","ACCEDA is a platform composed of three parts that allows the content management of websites (CMS), the management of the interface with the citizen to initiate and consult states of involved files (Sede) as well as a complete backend of electronic files processing.","Secretaría de Estado de Función Pública, Secretaría General de Administración Digital",https://administracionelectronica.gob.es/ctt/acceda/descargas?idioma=en,https://administracionelectronica.gob.es/ctt/acceda/abstract
CPT Single Window,Taiwan,Data Exchange,"Council for Economic Planning and Development, Executive Yuan","CPT Single Window enables the integration of the customs clearance, examination and certification of goods by port authorities, with the goal of using data to optimize import/export processes and and provide clearer supply chain data for measuring the international economic and trade environment.","Ministry of Finance, Taiwan",No,https://portal.sw.nat.gov.tw/PPL/eng
Open Data Kit (ODK),Unknown,Data Exchange,Nafundi,"Open Data Kit tools help millions of people around the world collect, manage, and use their data. It is currently being used by public health authorities in South Sudan, the Philippines, Keyna, and Somalia to track the COVID-19 outbreak and communicate with potential and confirmed COVID patients.",N/A,https://github.com/opendatakit,https://getodk.org/
Smart NID,Bangladesh,Digital Identity,"National Identity Registration Wing, Bangladesh Elections Commission","The Smart NID card contains personal, and biometric and mobile phone data, and can be used for banking, passport details, drivers licesnes, tax payments and other services. As of 2017, 77 public and private organizations use the Smart NID for identity authentication.",N/A,No,http://nidw.gov.bd/
Mobile eID Solution (m-ID),Estonia,Digital Identity,"Information System Authority, Republic of Estonia","eID is a collection of data that connects an Estonian resident's physical identity to their electronic identity. PKI-enabled smartcards and SIM cards enable residents to use their mobile device or physical cards for secure identification. When accessing a secured service, mobile operators or card readers will cross-reference the digital identifier on the personal device with public data authorities to determine if service access is granted or denied.",N/A,https://github.com/open-eid,https://www.ria.ee/en/state-information-system/electronic-identity-eid.html
Aadhaar,India,Digital Identity,Unique Identification Authority of India (under MeiTY),"Aadhaar is a 12-digit unique identity number used by residents or passport holders of India for digital identity authentication, based on their biometric and demographic data. During the authentication transaction, the resident’s record is first selected using the Aadhaar Number and then the demographic/biometric inputs are matched against the stored data which was provided by the resident during enrolment/update process. The UIDAI is responsible for Aadhaar enrollment, data storage within the Central Identities Data Repository (CIDR), and authentication, including operation and management of all stages of Aadhaar life cycle.","Lok Sabha (Lower house of India's Parliament), Supreme Court (issued verdicts protecting voluntary registration and right to privacy)",No,https://uidai.gov.in/
Paperless Offline eKYC,India,Digital Identity,Unique Identification Authority of India (under MeiTY),"Aadhaar eKYC is a paperless Know Your Customer (KYC) process, wherein the Identity and Address of the subscriber are verified electronically through Aadhaar Authentication. It can be used as an alternative to the current KYC process which is done on the basis of physical photocopies of the original documents (ID proof and Address proof). With the explicit consent / authorization by the resident, the Aadhaar e-KYC service provides an instant, electronic, non-repudiable “Proof of Identity” and “Proof of Address” along with date of birth and gender. In addition, it also provides the resident’s mobile number and email address to the service provider, which helps in further streamlining the process of service delivery. ",N/A,No,null
eSign,India,Digital Identity,"Controller of Certifying Authority, MeiTY","eSign service allows applications to replace manual paper based signatures by integrating an API which allows an Aadhaar holder to electronically sign a form/document anytime, anywhere, and on any device legally in India.  eSign service facilitates significant reduction in paper handling costs, improves efficiency, and offers convenience to customers.",N/A,No,http://cca.gov.in/eSign.html
DigiLocker,India,Digital Identity,"Ministry of Electronics & Infomration Technology, Government of India","DigiLocker provides an account in cloud to every Aadhaar holder to access authentic documents/certificates such as driving license, vehicle registration, academic mark sheet in digital format from the original issuers of these certificates. It also provides 1GB storage space to each account to upload scanned copies of legacy documents.","ownCloud, Jharkhand Police, UIDAI, Parallel, National Informatic Center (NIC), The Centre for Devleopment of Advanced Computing (C-DAC)",No,https://digilocker.gov.in/
National Registration and Identification System Project,Malawi,Digital Identity,National Registration Bureau of Malawi,"The project goal is to ensure a permanent and continuous national registration and identification system in Malawi.  It designed, established and managed of the infrastructure such as smart ID cards, supervised the mass registration for all eligible Malawians (an estimated 9 million), transitioned the system to a continuous registration model in 2018, and provided an interface to other public and private sector systems that allows for legally-compliant data sharing.
","Funded by UNDP, the Department for International Development, the EU, Government of Malawi, Norwegian Government, Irish AID, USAID, UNICEF",No,https://www.mw.undp.org/content/malawi/en/home/projects/national-registration-and-identification-system-project/
MyKad,Malaysia,Digital Identity,"Ministry of Communications and Multimedia, the Malaysian Communications and Multimedia Commission and the Malaysia Digital Economy Corporation","MyKad is an electronic identity card used as an identity document, electronic wallet and digital payment mechanism and secure online communications such as online tax processing. A National Digital ID initiative currently in development by the Minister of Communications and Multimedia would incorporate advanced methods of authenticating online user identities in addition to the MyKad ",N/A,No,https://www.jpn.gov.my/en/informasimykad/introduction-to-mykad/
OS City,Mexico,Digital Identity,OS City,"A modular platform that uses blockchain to enable citizens to create and issue their own verifiable credentials to expand the use of tamper-proof and portable credentials in civil society. It also accelerates government response to constituent needs, including using AI to integrate data silos, boost public sector transparency, assist with urban planning and manage permits and licensing.","UNICEF, Prince Consulting",No,https://os.city/
MOSIP,Morocco,Digital Identity,"International Institute of Information Technology, Bangalore (IIIT-B)","The Modular Open Source Identity Platform (MOSIP) helps Governments and other user organizations implement a digital, foundational identity system in a cost effective way. Nations can use MOSIP freely to build their own identity systems. Being modular in its architecture, MOSIP provides flexibility to countries in how they implement and configure their systems, and helps avoid vendor lock-in.","Bill & Melinda Gates Foundation, Sir Ratan Tata Trust and Omidyar Network",https://github.com/mosip,https://www.mosip.io/
eID,Norway,Digital Identity,"Agency for Public Management and eGovernment (DIFI), Norway","An electronic ID is used to authenticate Norwegian's identity on the Internet in the same way a passport, driving licence or bankcard does. DIFI provides eID ease of use as the same logon screen is shown regardless of public agency, thus citizens need only to remember one password. Four solutions  are  available  to  citizens,  depending  on  their  requirements:  MinID, Buypass, BankIDand Commfides.",N/A,No,https://eid.difi.no/en/id-porten
Computerised National ID Card (CNIC),Pakistan,Digital Identity,National Database and Registration Authority (NADRA),"A computerized version of the National Identity Card, which is mandatory for many aspects of civic life like voting, obtaining financial services, obtaining passports, and paying for utilities such as cell phones, gas and water. Numerous security features such as biometric verification, compartmentalized security layers and authentication handshakes with card readers fosters high confidence in its use in public and privatelife.",N/A,No,https://id.nadra.gov.pk/
National Digital Identity,Singapore,Digital Identity,Government Technology Agency of Singapore (GovTech),"The NDI allows citizens a single digital identity to transact with both the public and private sectors by securely authenticating their identity online and enabling consensual data exchange between government agencies and private organizations. The NDI brings various digital initiatives like the SingPass Mobile, MyInfo and MyInfo Business together to provide greater online convenience and transactional security for citizens and businesses.",N/A,https://www.ndi-api.gov.sg/,https://www.tech.gov.sg/scewc2019/ndi
Firma,Spain,Digital Identity,Government of Spain,Firma is an e-signature tool that provides public administration agencies and citizens with the necessary tools to implement personal authentication through advanced electronic signature quickly and effectively.,"Spanish Ministry of Economic Affairs and Digital Transformation, Spanish Secretariat of digitization status and Artificial intelligence   Spanish General Secretariat of Digital Administration",https://github.com/ctt-gob-es/clienteafirma,https://administracionelectronica.gob.es/ctt/clienteafirma/masmas
Verify,United Kingdom,Digital Identity,UK Government Digital Service,"A single login that verifies a constituent's identity across a wide swath of UK govenrment digital services. Users can choose an pre-approved identity provider to register, and then use the login to access a variety of government services such as registering for drivers licenses, pensions and cash transfers, taxes, and student loans.","UK Department of Digital, Culture, Media and Sport, UK Department of Work and Pensions",https://github.com/alphagov/verify-frontend,https://www.verify.service.gov.uk/
bKash,Bangladesh,Digital Payments,bKash,"bKash provides safe, convenient and easy ways to make payments and money transfer services via mobile phones to both the unbanked and the banked people of Bangladesh. bKash was conceived primarily to utilize mobile devices and the omnipresent telecom networks to extend financial services in a secure manner to the under-served remote population of Bangladesh. bKash can be accessed via all the mobile networks operating in Bangladesh. Currently, bKash is running a network of more than 180,000 agents throughout urban and rural areas of Bangladesh with over 30 million registered accounts.","BRAC Bank Limited (Bangladesh) and Money in Motion LLC (USA), World Bank, Bil & Melinda Gates Foundation, Ant Financial",No,https://www.bkash.com/
Sempo Cash Transfer Platform,"Beirut and Akkar, Lebanon; Iraqi Kurdistan; Athens, Greece",Digital Payments,Sempro,"Sempro is a platform that enrolls beneficiaries, disburses cash, and monitors transactions. Using SMS, mobile applications or physical cards, Sempro uses blockchain to quickly and securely transfer funds to beneficiaries and track cash disbursement for donor transparency.","ConsenSys, Oxfam Australia, Mercy Corps, Maker",https://github.com/teamsempo/,https://withsempo.com/
Unified Payments Interface (UPI),India,Digital Payments,National Payments Corporation of India (NPCI),"“Unified Payment Interface” (UPI) enables all bank account holders in India to send and receive money instantly from their smartphones without the need to enter bank account information or net banking userid/ password. For using UPI, users need to create a Virtual Payment Address (VPA) of their choice and link it to any bank account. The VPA acts as their financial address and users need not remember beneficiary account number, IFSC codes or net banking user id/password for sending or receiving money. UPI can be used to for Peer-Peer, Peer-Merchant & Business-Business payment transactions.",Reserve Bank of India,No,null
Bharat Interface for Money (BHIM),India,Digital Payments,NPCI,"BHIM is an app that lets Indian bank account holders make easy and quick payment transactions using UPI. To use the BHIM app, the user need to have an internet enabled smartphone and UPI compatible bank account. The BHIM app works on UPI protocols and thus require mobile number linked to the bank account to make transaction. With the help of BHIM app, the user can manage multiple bank account that support UPI services in one single app. The app also enables other features – user can check bank balance, switch accounts and send money to non-UPI supported banks with the help of IFSC code, account number. The app also supports fund transfers to Aadhar registered bank accounts via BHIM Aadhaar.",N/A,No,null
BharatQR,India,Digital Payments,NPCI,"BharatQR is a QR code-based digital payment service that merchants and consumers can use on internet-connected smartphones to quickly transact quickly, cost-effectively, and securely. It directly transmits funds between the merchant and consumer's bank accounts. ","Mastercard, Visa",No,https://www.npci.org.in/product-overview/bharatqr-product-overview
